feature,mean_abs_shap,mean_abs_lime
Age,0.005607738739735574,0.008224126278014427
TSH Value,0.13162895657704565,0.08540960106040162
FT3 Value,0.029313974160285087,0.023875854048792777
FT4 Value,0.05160620076138201,0.024561267420927055
On_Thyroxine_YES,0.022203942653323434,0.03601852589254417
Query_On_Thyroxine_YES,0.03966386322609881,0.00753207104596825
Tremor Issue_YES,0.029833902259667044,0.028375995054844286
Bowel_NO,0.011734360287732332,0.01350442594611671
Weight_L,0.014711809407088475,0.010218710102222677
Skin Problem_S,0.008266371770044143,0.009186508521443426
Memory Problem_YES,0.006654869641157743,0.008102747268478826
Sleep Disorder_S,0.013935800785766733,0.01204937907432509
M/H Problem_YES,0.014073656488756758,0.008352680722591144
Query_hypothyroid_YES,0.0061712300396300455,0.0
Query_hyperthyroid_YES,0.012607936486448387,0.0
